Property : optional getter : optional setter	Label	Section	Editor	User Visible	Read Only	Group	Default	Options	Subsection	min	max	step						
sharedHilite	Shared hilite	Basic	com.livecode.pi.boolean	TRUE	FALSE													
sharedText	Share text	Basic	com.livecode.pi.boolean	TRUE	FALSE													
showBadge	Controller toggle	Basic	com.livecode.pi.boolean	TRUE	FALSE													
showBorder	Show border	Basic	com.livecode.pi.boolean	TRUE	FALSE		TRUE											
showController	Controller	Basic	com.livecode.pi.boolean	TRUE	FALSE													
showFocusBorder	Focus border	Basic	com.livecode.pi.boolean	TRUE	FALSE													
showLines	Text baselines	Table	com.livecode.pi.boolean	TRUE	FALSE													
showName	Show name	Basic	com.livecode.pi.boolean	TRUE	FALSE													
showSelection	Hilite selection	Basic	com.livecode.pi.boolean	TRUE	FALSE													
showValue	Show value	Basic	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
size	Size in bytes	Basic	com.livecode.pi.integer	TRUE	TRUE													
stackFiles::revIDESetStackFilesProperty	Stack files	Stack Files	com.livecode.pi.stackfiles	TRUE	FALSE													
startAngle	Start	Basic	com.livecode.pi.number	TRUE	FALSE		0			0	360	1						
startArrow	Start arrow	Basic	com.livecode.pi.boolean	TRUE	FALSE													
startTime	Start	Basic	com.livecode.pi.integer	TRUE	FALSE					0		1						
startupIconic	Open minimized	Basic	com.livecode.pi.boolean	TRUE	FALSE													
startValue	Start value	Basic	com.livecode.pi.number	TRUE	FALSE		0					1						
strokeGradient::revIDESetGradientProperty	Stroke gradient	Colors	com.livecode.pi.gradient	TRUE	FALSE			"popup:gradientType,gradientRamp,gradientQuality,gradientRepeat,gradientMirror,gradientWrap"										
style	Style	Basic	com.livecode.pi.enum	TRUE	FALSE													
styledText	Contents	Contents	com.livecode.pi.styledText	TRUE	FALSE		no_default											
systemWindow	Float above everything	Basic	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
tabGroupBehavior	Contents focus with keyboard	Basic	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
tabStops	Tab stops	Table	com.livecode.pi.string	TRUE	FALSE													
text	Text	Basic	com.livecode.pi.text	FALSE	FALSE			tabStops|15										
textAlign	Text align	Text	com.livecode.pi.textalign	TRUE	FALSE													
textFont	Font	Text	com.livecode.pi.font	TRUE	FALSE													
textHeight	Text height	Text	com.livecode.pi.integer	TRUE	FALSE				4		1							
textSize	Text size	Text	com.livecode.pi.integer	TRUE	FALSE					1		1						
textStyle	Text style	Text	com.livecode.pi.textstyle	TRUE	FALSE													
theme	Theme	Basic	com.livecode.pi.enum	TRUE	FALSE			"Native|native,Legacy Look-and-Feel|legacy"										
themeclass	Theme as	Basic	com.livecode.pi.enum	TRUE	FALSE			"Pushbutton|button,Checkbox|checkbox,Radio button|radiobutton,Tab button|tabbutton,Tab pane|tabpane,Label|label,Input field|inputfield,List|list,Menu|menu,Menu item|menuitem,Option menu|optionmenu,Pull-down menu|pulldownmenu,Combo box|combobox,Popup menu|popupmenu,Progress bar|progressbar,Scrollbar|scrollbar,Slider|slider,Spin arrows|spinarrows,Window|window,Message box|messagebox,Rich text|richtext,Tooltip|tooltip"										
threeD	3-D	Basic	com.livecode.pi.boolean	TRUE	FALSE													
thumbPosition	Current value	Basic	com.livecode.pi.number	TRUE	FALSE		50					1						
thumbSize	Thumb size	Basic	com.livecode.pi.number	FALSE	FALSE		1											
tilt	Tilt	Quicktime	com.livecode.pi.number	TRUE	FALSE													
title	Title	Basic	com.livecode.pi.string	TRUE	FALSE													
toggleHilites	Click to toggle	Basic	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
tooltip	Tooltip	Basic	com.livecode.pi.text	TRUE	FALSE													
top::revIDESetRectProperty	Top	Position	com.livecode.pi.integer	TRUE	FALSE		no_default					1						
topColor	Outset bevel color	Colors	com.livecode.pi.color	TRUE	FALSE	Top bevel fill												
topPattern	Outset bevel pattern	Colors	com.livecode.pi.pattern	TRUE	FALSE	Top bevel fill												
tracks	Tracks	Tracks	com.livecode.pi.text	TRUE	TRUE													
traversalOn	Focus with keyboard	Basic	com.livecode.pi.boolean	TRUE	FALSE													
underlineLinks	Underline links	Colors	com.livecode.pi.boolean	TRUE	FALSE		TRUE											
vGrid	Vertical grid	Table	com.livecode.pi.boolean	TRUE	FALSE													
visible	Visible	Basic	com.livecode.pi.boolean	TRUE	FALSE		TRUE											
visitedIcon	Visited icon	Icons	com.livecode.pi.imageid	TRUE	FALSE		0											
vScrollbar	Vertical scrollbar	Basic	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
width	Width	Position	com.livecode.pi.integer	TRUE	FALSE					1		1						
windowShape	Shape	Basic	com.livecode.pi.imageID	TRUE	FALSE													
zoom	Zoom	Quicktime	com.livecode.pi.number	TRUE	FALSE		0											
